French,English
histoire,history
seulement,only
police,police
pensais,thought
mois,month
frère,brother
laisser,let
aucun,no
laisse,leash
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
aucune,any
parle,speak
étaient,were
attention,Warning
pourrais,could
type,type
donné,given
train,train
corps,body
façon,way
premier,first
première,first
pouvoir,power
vieux,old
enfant,child
pardon,sorry
venez,come
belle,beautiful
droit,law
aimerais,would like to
mari,husband
enfin,finally
espère,hope
attendez,Wait
boulot,job
compte,account
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
jouer,to play
bureau,office
